ID Projet,Nom du projet,Description,Année,Secteur,Pays,Taux Change Moyen (USD/EUR),Budget Initial (k€),Budget Final (k€),Écart Budget (%),Pénalités Historiques,Taux Imposition (%),Complexité Technique (1-5),Frais Imprévus (k€),Mode de Paiement,Qualité des Exigences (1-5),Durée Estimée (mois),Retard Moyen Historique (%),Date de Début,Date de Fin Initiale,Date de Fin Prévue,Écart de Délais (jours),risque_delais,risque_financement,risque_penalites,risque_fiscalite,risque_technique,risque_frais,moyenne_risques
AGRI-001,Plateforme d'Optimisation de l'Irrigation Agricole par SIG et IA,"Ce projet vise à développer une plateforme intelligente pour aider les agriculteurs à optimiser leur utilisation de l'eau d'irrigation. La plateforme intégrera diverses sources de données (météorologiques en temps réel, images satellites historiques, données pédologiques, topographie) via un système d'information géographique (SIG). Un modèle d'intelligence artificielle (IA) basé sur ces données et sur l'apprentissage automatique sera développé pour générer des recommandations d'irrigation personnalisées et localisées, prenant en compte le type de culture, le stade de croissance, et les conditions environnementales spécifiques à chaque parcelle. La plateforme sera accessible via une application web et une application mobile, offrant des visualisations cartographiques interactives, des alertes et des rapports. Les défis techniques incluent l'intégration et le traitement de grands volumes de données hétérogènes et géospatiales, le développement d'un modèle IA robuste et adaptable, l'assurance de la scalabilité de la plateforme cloud, la mise en place d'une sécurité renforcée pour les données sensibles des exploitations, et la conception d'interfaces utilisateur intuitives pour un public potentiellement peu familiarisé avec la technologie.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,3.0,20.0,15.0,01/03/2023,01/11/2024,20/02/2025,102.0,15,5,0,2,12,10.0,7.33
AGRI-002,Système Intelligent d'Optimisation de l'Irrigation Agricole (SIOIA),"Le projet SIOIA vise à développer une plateforme numérique intégrée pour aider les agriculteurs à optimiser leur consommation d'eau d'irrigation. En combinant des données géo-référencées issues d'images satellites (indice de végétation, humidité des sols), des prévisions météorologiques, des caractéristiques pédologiques et potentiellement des données de capteurs IoT sur le terrain, le système analysera les besoins hydriques spécifiques des cultures à l'échelle de la parcelle.

La plateforme fournira des recommandations d'irrigation précises et personnalisées, accessibles via une interface web et mobile conviviale. L'objectif est de réduire le gaspillage d'eau, de diminuer les coûts énergétiques liés au pompage, d'améliorer les rendements des cultures et de promouvoir des pratiques agricoles durables.

Les défis techniques incluent l'intégration et le traitement de larges volumes de données hétérogènes (géospatiales, temporelles, ponctuelles), le développement de modèles prédictifs précis basés sur le Machine Learning pour estimer les besoins en eau, la création d'une architecture Cloud scalable et résiliente, l'assurance de la sécurité et de la confidentialité des données agricoles, et la conception d'une expérience utilisateur simple et intuitive pour un public non technique.",2023.0,Agriculture,Kenya,0.91,1137500.0,891800.0,18.0,0.0,10.0,4.0,113750.0,Trimestriel,4.0,24.0,15.0,01/03/2023,01/03/2025,01/07/2025,122.0,15,10,0,2,15,10.0,8.67
AGRI-003,Système d'Optimisation de l'Irrigation Agricole Intelligente (SOIAI),"Le projet SOIAI vise à développer une plateforme technologique avancée pour optimiser l'utilisation de l'eau dans l'agriculture, augmentant ainsi les rendements des cultures tout en réduisant l'impact environnemental. La plateforme intégrera des données multi-sources incluant des capteurs IoT déployés sur le terrain (humidité du sol, température), des données météorologiques historiques et prévisionnelles, des informations pédologiques et des données géospatiales (imagerie satellite, cartographie SIG). Un moteur d'intelligence artificielle basé sur le Machine Learning analysera ces données pour prédire les besoins en eau spécifiques à chaque parcelle et générer des plans d'irrigation optimisés. L'application fournira une interface web et mobile permettant aux agriculteurs de consulter les recommandations, de suivre l'état de leurs parcelles et potentiellement de contrôler des systèmes d'irrigation connectés. Les défis techniques majeurs incluent la gestion et l'intégration de flux de données hétérogènes et volumineux (Big Data, IoT, SIG), le développement de modèles ML robustes et précis adaptés à diverses conditions agricoles, l'assurance de la scalabilité de la plateforme Cloud, la conception d'une interface utilisateur intuitive pour un public non technique, et la garantie de la sécurité des données sensibles.",2023.0,Agriculture,Kenya,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,4.0,20.0,15.0,01/03/2023,01/07/2024,01/12/2024,153.0,15,10,0,5,15,10.0,9.17
AGRI-004,AgriScan Pro: Plateforme d'Analyse Géospatiale pour l'Agriculture de Précision,"AgriScan Pro est une plateforme web et mobile visant à fournir aux agriculteurs et aux coopératives des outils avancés pour le suivi et l'analyse de leurs terres agricoles. Le système ingérera et traitera de grands volumes de données géospatiales provenant de diverses sources, incluant des images satellite (Sentinel, Planet), des données de drones, et des relevés terrain (ground truth). Un moteur d'intelligence artificielle et d'apprentissage automatique analysera ces données pour identifier les types de cultures, détecter les changements dans l'occupation des sols, estimer les rendements potentiels, et identifier les zones nécessitant une intervention spécifique (irrigation, fertilisation, détection de maladies/parasites). La plateforme offrira des visualisations cartographiques interactives, des rapports personnalisés et des alertes. Les défis techniques incluent la gestion et le traitement efficace de pétabytes de données géospatiales, le développement de modèles ML précis capables de généraliser sur différentes régions et types de cultures, l'intégration de sources de données hétérogènes, et la construction d'une architecture cloud scalable et résiliente capable de supporter des analyses complexes à la demande. Une application mobile permettra la collecte de données terrain et la consultation d'informations hors ligne.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,3.0,20.0,15.0,01/03/2023,01/07/2025,01/12/2025,153.0,15,5,0,2,12,10.0,7.33
URB-001,Système de Gestion Intelligente des Espaces Verts Urbains (SIGEVU),"Ce projet vise à concevoir et déployer un système intégré pour la gestion optimisée des espaces verts urbains (parcs, arbres, jardins, etc.). Le système collectera des données multi-sources, incluant des capteurs IoT pour le suivi environnemental (humidité, température, etc.), des images issues de drones pour l'analyse de la canopée et la détection de problèmes, et des saisies manuelles des équipes de terrain. Une plateforme web et mobile permettra la visualisation spatiale des données (cartographie), la planification et le suivi des interventions de maintenance, l'analyse prédictive (santé des arbres, besoins en arrosage) via des modèles d'IA/ML, et l'évaluation de l'état global des espaces verts. Les principaux défis techniques incluent l'intégration de flux de données hétérogènes et volumineux (IoT, géospatiales, images), le développement d'algorithmes d'analyse spatiale et d'apprentissage automatique, la mise en place d'une infrastructure cloud robuste et évolutive, la garantie de la cybersécurité des données sensibles et la conception d'interfaces utilisateur intuitives pour différents profils (gestionnaires, techniciens, urbanistes).",2023.0,Urbanisme,Sénégal,0.91,1137500.0,887250.0,18.0,0.0,10.0,4.0,113750.0,Trimestriel,3.0,24.0,15.0,01/03/2023,01/03/2025,01/07/2025,122.0,20,15,0,5,15,10.0,10.83
AGRI-005,Plateforme Intelligente d'Optimisation des Cultures Agricoles (PIOCA),"Développement d'une plateforme web et mobile pour l'agriculture de précision. Le projet vise à collecter des données issues de capteurs IoT (météo, humidité sol, etc.), d'images satellite/drone (SIG), et de sources externes (marchés, prévisions météo). Ces données seront centralisées, traitées via des pipelines Big Data, et analysées à l'aide de modèles de Machine Learning et Data Science pour fournir des recommandations personnalisées aux agriculteurs (irrigation, fertilisation, détection précoce de maladies/ravageurs, prévisions de rendement). La plateforme offrira une interface utilisateur intuitive affichant des cartes interactives, des tableaux de bord et des alertes. Les défis techniques incluent l'intégration de sources de données hétérogènes et volumineuses, le traitement en temps quasi réel, le développement de modèles prédictifs robustes, la scalabilité de l'infrastructure cloud, et la garantie de la sécurité des données sensibles.",2023.0,Agriculture,Sénégal,0.91,13650000.0,10647000.0,16.33,0.0,15.0,4.0,1638000.0,Trimestriel,4.0,20.0,12.0,01/03/2023,01/11/2024,20/02/2025,102.0,15,5,0,0,15,10.0,7.5
AGRI-006,Plateforme d'Optimisation de la Gestion des Ressources Agricoles par SIG,"Développement d'une plateforme web interactive utilisant les Systèmes d'Information Géographique (SIG) pour aider les agriculteurs et les organisations agricoles à optimiser l'utilisation des ressources (eau, fertilisants, pesticides) et à améliorer la gestion des cultures. La plateforme intégrera des données géospatiales variées (images satellite, données de capteurs IoT, données météorologiques, cartes pédologiques) pour fournir des analyses précises et localisées. Elle offrira des fonctionnalités de cartographie dynamique, de zonage de précision, de suivi des parcelles, et potentiellement des modèles prédictifs basés sur l'analyse de données historiques et en temps réel. Les défis techniques incluent l'intégration et le traitement de grands volumes de données hétérogènes, le développement d'algorithmes SIG complexes pour des analyses personnalisées, la création d'une interface utilisateur intuitive et performante pour afficher des données géospatiales volumineuses, assurer la scalabilité de l'infrastructure cloud pour gérer un nombre croissant d'utilisateurs et de données, ainsi que garantir la sécurité et la confidentialité des données sensibles des utilisateurs.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,15.5,0.0,10.0,4.0,170625.0,Trimestriel,3.0,18.0,15.0,01/03/2023,01/09/2024,25/11/2024,85.0,15,5,0,2,15,10.0,7.83
AGRI-007,Plateforme d'Analyse Géospatiale de la Santé des Sols Agricoles,"Développement d'une plateforme web interactive pour la collecte, le traitement, l'analyse et la visualisation de données géospatiales relatives à la santé des sols agricoles. Le système intégrera des données provenant de diverses sources (capteurs IoT, images satellites, analyses de laboratoire, données météorologiques) pour fournir aux agriculteurs et aux experts agronomiques des indicateurs clés et des recommandations personnalisées. Le projet vise à améliorer la prise de décision pour optimiser les pratiques agricoles et assurer la durabilité des sols. Les défis techniques incluent la gestion et l'intégration de grands volumes de données hétérogènes, le développement d'algorithmes d'analyse spatiale complexes, l'assurance de la performance de l'interface utilisateur avec des couches cartographiques volumineuses, et la mise en place d'une architecture cloud robuste et évolutive.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,15.5,0.0,15.0,4.0,91000.0,Trimestriel,4.0,18.0,12.0,01/03/2023,01/09/2024,01/12/2024,92.0,15,10,0,5,15,10.0,9.17
AGRI-008,Plateforme d'Optimisation du Rendement Agricole par IA et SIG (PORA-IS),"Le projet PORA-IS vise à développer une plateforme technologique avancée pour l'agriculture de précision. Cette plateforme intégrera des données hétérogènes provenant de capteurs IoT déployés sur le terrain (humidité, température, nutriments), d'images satellite à haute résolution (indices de végétation, analyse du sol), de stations météorologiques et de données topographiques (SIG). L'objectif est d'appliquer des algorithmes d'apprentissage automatique (IA/ML) sur ces Big Data pour fournir des analyses prédictives précises (estimation du rendement, détection précoce de maladies ou de stress hydrique) et des recommandations personnalisées aux agriculteurs via une interface web et mobile intuitive. Les défis techniques incluent la gestion et le traitement de grands volumes de données multi-sources et multi-formats, le développement de modèles ML robustes et interprétables pour des environnements agricoles variés, l'intégration en temps réel des flux de données IoT et météo, la scalabilité de l'infrastructure cloud, l'implémentation de visualisations géospatiales complexes sur le web, et la garantie de la sécurité et de la confidentialité des données agricoles sensibles.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,18.0,0.0,10.0,4.0,113750.0,Trimestriel,3.0,24.0,15.0,01/03/2023,01/03/2025,01/07/2025,122.0,15,10,0,2,15,10.0,8.67
AGRI-009,Système Intelligent de Surveillance et d'Optimisation Agricole (SISOMA),"Développement d'une plateforme intégrée pour l'agriculture de précision. Le projet vise à collecter des données en temps réel via des capteurs IoT installés dans les champs (humidité du sol, température, luminosité, etc.), les analyser en utilisant des techniques de Big Data et de Machine Learning, et fournir des recommandations optimisées aux agriculteurs via une application web et mobile. La plateforme inclura également une composante SIG avancée pour la visualisation spatiale des données et l'analyse zonale. Les défis techniques majeurs incluent l'intégration fiable de données multi-sources (IoT, SIG), la gestion et le traitement de volumes importants de données en temps réel, le développement d'algorithmes d'apprentissage automatique précis pour la prédiction (rendement, maladies, besoins en irrigation), la conception d'une architecture cloud scalable et sécurisée, et le développement d'interfaces utilisateur intuitives pour les agriculteurs.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,3.0,20.0,15.0,01/03/2023,01/11/2024,01/02/2025,92.0,15,10,0,2,15,10.0,8.67
